import time: self [us] | cumulative | imported package
import time:      2176 |       2176 |           secrets
import time:      1616 |       7299 |         engineio.base_server
import time:      1395 |       1395 |           engineio.base_socket
import time:      3969 |       5363 |         engineio.socket
import time:      1741 |      14402 |       engineio.server
import time:      1666 |       1666 |         engineio.async_socket
import time:      2270 |       3936 |       engineio.async_server
import time:      3888 |       3888 |               multidict._abc
import time:      1699 |       1699 |                 multidict._multidict
import time:      1973 |       3671 |               multidict._compat
import time:      2298 |       9856 |             multidict
import time:      2269 |      12125 |           aiohttp.hdrs
import time:      1744 |       1744 |                 attr._compat
import time:      1988 |       1988 |                   attr._config
import time:      1744 |       1744 |                     attr.exceptions
import time:      1529 |       3272 |                   attr.setters
import time:      9248 |      14508 |                 attr._make
import time:      1934 |      18185 |               attr.converters
import time:      1457 |       1457 |               attr.filters
import time:      9106 |       9106 |               attr.validators
import time:      1925 |       1925 |               attr._cmp
import time:      2074 |       2074 |               attr._funcs
import time:      1532 |       1532 |               attr._next_gen
import time:      2412 |       2412 |               attr._version_info
import time:      2980 |      39668 |             attr
import time:      1553 |       1553 |                     yarl._quoting_c
import time:      1055 |       2607 |                   yarl._quoting
import time:      1395 |       4001 |                 yarl._quoters
import time:      2243 |       6244 |               yarl._query
import time:      2299 |       2299 |                   propcache
import time:      2226 |       2226 |                     propcache._helpers_c
import time:      1217 |       3442 |                   propcache._helpers
import time:      1300 |       7041 |                 propcache.api
import time:      1732 |       1732 |                 yarl._parse
import time:      2279 |       2279 |                 yarl._path
import time:      5823 |       5823 |                           typing_extensions
import time:      2334 |       2334 |                           pydantic_core._pydantic_core
import time:      2312 |       2312 |                                 numbers
import time:      2577 |       4889 |                               _decimal
import time:      2173 |       7061 |                             decimal
import time:     21888 |      28949 |                           pydantic_core.core_schema
import time:      2902 |      40007 |                         pydantic_core
import time:      1456 |      41462 |                       pydantic.version
import time:      1788 |      43249 |                     pydantic.warnings
import time:     12817 |      56066 |                   pydantic._migration
import time:      2231 |       2231 |                       typing_inspection
import time:      3137 |       3137 |                       dataclasses
import time:     10599 |      10599 |                       typing_inspection.typing_objects
import time:      5796 |      21762 |                     typing_inspection.introspection
import time:      1631 |       1631 |                     pydantic._internal
import time:      3592 |       3592 |                         pydantic._internal._namespace_utils
import time:      4106 |       7698 |                       pydantic._internal._typing_extra
import time:      2681 |      10379 |                     pydantic._internal._repr
import time:      2415 |      36185 |                   pydantic.errors
import time:      3403 |      95654 |                 pydantic
import time:      1623 |       1623 |                       pydantic._internal._internal_dataclass
import time:      5141 |       6763 |                     pydantic.aliases
import time:      4061 |       4061 |                     pydantic.config
import time:      2614 |      13438 |                   pydantic._internal._config
import time:      2044 |       2044 |                   pydantic._internal._core_metadata
import time:      1744 |       1744 |                   pydantic._internal._core_utils
import time:      3171 |       3171 |                       pydantic._internal._import_utils
import time:      5007 |       8177 |                     pydantic._internal._utils
import time:      9930 |      18107 |                   pydantic._internal._decorators
import time:      2824 |       2824 |                       pydantic.plugin
import time:      2238 |       5062 |                     pydantic.plugin._schema_validator
import time:      1976 |       7037 |                   pydantic._internal._mock_val_ser
import time:      1627 |       1627 |                   pydantic._internal._schema_generation_shared
import time:      7398 |      51392 |                 pydantic.json_schema
import time:      5775 |     163871 |               yarl._url
import time:      1671 |     171785 |             yarl
import time:      2017 |       2017 |                 aiohttp.typedefs
import time:      2298 |       4315 |               aiohttp.http_exceptions
import time:      2737 |       2737 |                   aiohttp.client_exceptions
import time:      2738 |       2738 |                     netrc
import time:      6537 |       6537 |                         email._header_value_parser
import time:      2404 |       8940 |                       email.headerregistry
import time:     19135 |      19135 |                       email.contentmanager
import time:      2348 |      30422 |                     email.policy
import time:      1521 |       1521 |                     aiohttp.log
